success,reserve_ratio,peak_reserve_requirement_MW,objective_value,dispatch_total_cost_approx,peak_hour_cost_approx,peak_reserve_dispatch_MW,max_branch_loading_proxy_pct
1,0.03,94.05,1283512.48268821,1283512.48268821,75877.4549305739,94.0500000116145,80.4071266093325
1,0.05,156.75,1291345.04654762,1291345.04654762,76316.3549243398,156.750000000248,80.4071266457783
1,0.07,219.45,1299475.02538161,1299475.02538161,76826.0780829297,219.450000000002,80.4071266462562
1,0.08,250.8,1303689.27703232,1303689.27703232,77106.3470832924,250.800000000502,80.407126644169
0,0.09,282.15,NaN,NaN,NaN,NaN,0
0,0.095,297.825,NaN,NaN,NaN,NaN,0
0,0.1,313.5,NaN,NaN,NaN,NaN,0
