scenario,dispatch_total_cost_approx,dispatch_total_cost_delta_vs_A,dispatch_total_cost_delta_pct_vs_A,solver_objective_value,solver_objective_delta_vs_A,solver_objective_delta_pct_vs_A,peak_hour_cost_approx,peak_hour_cost_delta_vs_A,max_gen_output_MW,storage_charge_MWh,storage_discharge_MWh,storage_throughput_MWh,storage_round_trip_ratio,max_branch_loading_pct,binding_branch_count,congested_hours,peak_reserve_dispatch_MW,energy_cost_total,reserve_cost_total
Scenario A,1273778.3365572,0,0,1273778.3365572,0,0,75329.1849246175,0,399.999999999633,0,0,0,NaN,80.4071266413887,0,0,0,1273778.3365572,0
Scenario B,1299475.02538161,25696.6888244061,2.01735954262339,1299475.02538161,25696.6888244064,2.0173595426234,76826.0780829297,1496.89315831225,399.999999999999,0,0,0,NaN,80.4071266462562,0,0,219.450000000002,1273909.43593534,25565.5894462686
Scenario C,1266558.59753422,-7219.73902298277,-0.566797127551757,1009481.32313427,-264297.013422931,-20.7490585950205,71272.8060241885,-4056.378900429,399.999999999968,225.732514190658,191.060000008122,416.79251419878,0.846399999987367,80.4071266460102,0,0,0,1266558.59753422,0
Scenario D,1310314.80356654,36536.4670093346,2.86835361858063,1053237.52916654,-220540.807390664,-17.3139078488921,79844.4676634366,4515.28273881915,399.999999999999,232.323351259914,196.638484506344,428.961835766258,0.846399999999798,99.9999999999999,1,4,219.450000000003,1284497.73122331,25817.0723432288
