hour,storage_power_01
1,-7.62355594927975e-10
2,-2.39951193522259e-09
3,-15.7826086994137
4,-72.7826086791463
5,-15.7826087052524
6,1.82128130714422e-11
7,-9.1892067957259e-12
8,1.33610119438709e-12
9,1.03684952123412e-12
10,32.5000000001483
11,4.00000000014937
12,-4.45080635278212e-11
13,-0.000821381399620852
14,-27.1022031937138
15,-9.47988637339905e-11
16,61.0000000001496
17,79.9999999999992
18,-6.76248843621961e-11
19,-6.8550704648367e-12
20,-4.06253773830853e-11
21,-22.6116310329854
22,19.1384845058769
23,-4.69130590138154e-11
24,-78.26086956453
