success,storage_capacity_scale,power_rating_MW,energy_rating_MWh,objective_value,dispatch_total_cost_approx,peak_hour_cost_approx,charge_MWh,discharge_MWh,throughput_MWh,max_branch_loading_proxy_pct
1,0.5,40,120,1012607.76912993,1269685.04352993,73297.629648488,134.428166351757,113.780000000097,248.208166351854,80.4071266462667
1,1,80,240,1009481.32313427,1266558.59753422,71272.8060241885,225.732514190658,191.060000008122,416.79251419878,80.4071266460102
1,1.5,120,360,1006369.65110465,1263446.92550446,69254.71405312,317.036862051587,268.340000029936,585.376862081523,80.4071266453246
1,2,160,480,1003272.30618047,1260349.58058047,67246.0369419605,408.341209830037,345.620000000106,753.961209830142,80.4071266462615
